title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing,log_price,Gemeindename_x,Gemeindename_y,bev_dicht,Quartil,Kategorie,clean_Gemeindename
Einfamilienhaus in bester Lage von Kamenz,245000.0,"01917 Kamenz, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,138.4,584.0,1770.0,Einfamilienhaus (freistehend),180.0,nil,4.0,2.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}",12.409017571151187,Lage,Lage,157.28,Q3,ländlich,Lage
Einfamilienhaus in bester Lage von Kamenz,245000.0,"01917 Kamenz, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,138.4,584.0,1770.0,Einfamilienhaus (freistehend),180.0,nil,4.0,2.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}",12.409017571151187,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
Großzügiges Einfamilienhaus mit Garten und Ausbaupotenzial im Herzen von Kamenz,149599.0,"01917 Kamenz, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,220.0,740.0,680.0,Mehrfamilienhaus,50.0,nil,3.0,1.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",11.915720344522514,Kamen,"Kamen, Stadt",1038.93,Q4,städtisch,Kamen
Wohnen am Waldrand - Generationenhaus mit viel Platz,179999.0,"01936 Neukirch, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,145.0,1600.0,1241.0,Mehrfamilienhaus,142.0,nil,3.0,2.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",12.100712129872347,Neukirch,Neukirch,101.96,Q3,ländlich,Neukirch
Wohnen am Waldrand - Generationenhaus mit viel Platz,179999.0,"01936 Neukirch, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,145.0,1600.0,1241.0,Mehrfamilienhaus,142.0,nil,3.0,2.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",12.100712129872347,Neukirch,Neukirch,40.18,Q1,ländlich,Neukirch
Wohnen am Waldrand - Generationenhaus mit viel Platz,179999.0,"01936 Neukirch, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,145.0,1600.0,1241.0,Mehrfamilienhaus,142.0,nil,3.0,2.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",12.100712129872347,Neukirch,Neukirch/Lausitz,224.46,Q4,städtisch,Neukirch
Kleine Doppelhaushälfte mit großem Potential & zusätzlich kleiner Gästewohnung (Ferienhauspotential),63000.0,"01979 Lauchhammer, Oberspreewald-Lausitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,75.0,402.0,840.0,Einfamilienhaus (freistehend),40.0,nil,3.0,1.0,1.0,3.57,"{'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}",11.050905878263567,Lauchhammer,"Lauchhammer, Stadt",155.99,Q3,ländlich,Lauchhammer
Wohlfühloase in Neugersdorf- ein unterkellertes Einfamilienhaus in guter Lage,185000.0,"02727 Neugersdorf, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,116.0,1250.0,1595.0,Einfamilienhaus (freistehend),116.0,nach Vereinbarung,3.0,1.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.128116509451258,Lage,Lage,157.28,Q3,ländlich,Lage
Wohlfühloase in Neugersdorf- ein unterkellertes Einfamilienhaus in guter Lage,185000.0,"02727 Neugersdorf, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,116.0,1250.0,1595.0,Einfamilienhaus (freistehend),116.0,nach Vereinbarung,3.0,1.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.128116509451258,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
Wohnhaus mit Nebengelaß in Ebersbach,165000.0,"02730 Ebersbach/Sachsen, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9.0,220.0,1000.0,750.0,Mehrfamilienhaus,80.0,nil,5.0,2.0,2.0,3.57,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",12.013706813470414,Görlitz,"Görlitz, Stadt",822.14,Q4,städtisch,Görlitz
