title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing,log_price,Gemeindename_x,Gemeindename_y,bev_dicht,Quartil,Kategorie,clean_Gemeindename
!Jetzt preisreduziert! Geräumige DHH mit großem Garten und etliches an Möglichkeiten,185000.0,"55743 Idar-Oberstein, Birkenfeld (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,170.0,748.0,1088.0,Doppelhaushälfte,140.0,nach Vereinbarung!,4.0,2.0,3.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.128116509451258,Birkenfeld,Birkenfeld,74.61,Q2,ländlich,Birkenfeld
Charmantes Bungalow: Moderne Ruheoase,389000.0,"55758 Vollmersbach, Birkenfeld (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,122.0,1116.0,3189.0,Einfamilienhaus (freistehend),50.0,nil,3.0,1.0,3.0,2.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}",12.871337193291367,Birkenfeld,"Birkenfeld, Stadt",518.7,Q4,städtisch,Birkenfeld
Charmantes Bungalow: Moderne Ruheoase,389000.0,"55758 Vollmersbach, Birkenfeld (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,122.0,1116.0,3189.0,Einfamilienhaus (freistehend),50.0,nil,3.0,1.0,3.0,2.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}",12.871337193291367,Birkenfeld,Birkenfeld,531.46,Q4,städtisch,Birkenfeld
Charmantes Bungalow: Moderne Ruheoase,389000.0,"55758 Vollmersbach, Birkenfeld (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,122.0,1116.0,3189.0,Einfamilienhaus (freistehend),50.0,nil,3.0,1.0,3.0,2.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}",12.871337193291367,Birkenfeld,Birkenfeld,74.61,Q2,ländlich,Birkenfeld
"Gepflegtes Reihenmittelhaus mit Terasse, Balkon und Garten in bevorzugter Lage von Niederlahnstein",328500.0,"56112 Lahnstein, Rhein-Lahn-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,135.0,337.0,2433.0,Reihenmittelhaus,62.0,nach Vereinbarung,3.0,2.0,1.0,3.57,"{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}",12.7022951610422,Lahn,Lahn,40.68,Q1,ländlich,Lahn
"EFH mit Garten und Garage, Wohnen mit Stil in bester Lage von Boppard",469000.0,"56154 Boppard, Rhein-Hunsrück-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,195.0,540.0,2405.0,Einfamilienhaus (freistehend),60.0,nil,3.0,2.0,2.0,3.57,{},13.058360179622305,Lage,Lage,157.28,Q3,ländlich,Lage
"EFH mit Garten und Garage, Wohnen mit Stil in bester Lage von Boppard",469000.0,"56154 Boppard, Rhein-Hunsrück-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,195.0,540.0,2405.0,Einfamilienhaus (freistehend),60.0,nil,3.0,2.0,2.0,3.57,{},13.058360179622305,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
#Toller Bungalow mit Weitblick auf Burg Sterrenberg & Burg Liebenstein,328500.0,"56154 Boppard, Rhein-Hunsrück-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,193.0,739.0,1702.0,Bungalow,56.0,nil,4.0,2.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",12.7022951610422,Boppard,"Boppard, Stadt",205.7,Q4,städtisch,Boppard
Juwel in Bendorf,859000.0,"56170 Bendorf, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9.0,310.0,781.0,2771.0,Einfamilienhaus (freistehend),100.0,nil,3.0,3.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",13.663525365110068,Bendorf,Bendorf,20.91,Q1,ländlich,Bendorf
Juwel in Bendorf,859000.0,"56170 Bendorf, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9.0,310.0,781.0,2771.0,Einfamilienhaus (freistehend),100.0,nil,3.0,3.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",13.663525365110068,Bendorf,"Bendorf, Stadt",703.23,Q4,städtisch,Bendorf
"Großes, schönes Einfamilienhaus in ruhiger Ortsrandlage mit Fernsicht",446000.0,"56206 Hilgert, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,147.32,662.0,3027.0,Einfamilienhaus (freistehend),173.62,nil,3.0,1.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",13.008076473152153,Weste,Weste,36.97,Q1,ländlich,Weste
Neuwertige Doppelhaushälfte mit Doppelcarport,699000.0,"56218 Mülheim-Kärlich, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,172.0,315.0,4064.0,Doppelhaushälfte,56.0,nil,5.0,1.0,2.0,3.57,{'is24qa-gaeste-wc-label': ''},13.457407451830088,Koblenz,"Koblenz, Stadt",1079.7,Q4,städtisch,Koblenz
Familienfreundliche und energieeffiziente Doppelhaushälfte,699000.0,"56218 Mülheim-Kärlich, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,172.0,281.0,4064.0,Doppelhaushälfte,56.0,nil,5.0,1.0,2.0,3.57,{'is24qa-gaeste-wc-label': ''},13.457407451830088,Koblenz,"Koblenz, Stadt",1079.7,Q4,städtisch,Koblenz
Gehobenes Einfamilienhaus in exquisiter Lage,899000.0,"56218 Mülheim-Kärlich, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,207.0,472.0,4343.0,Einfamilienhaus (freistehend),83.0,nil,5.0,2.0,1.0,3.57,{'is24qa-gaeste-wc-label': ''},13.70903942580019,Lage,Lage,157.28,Q3,ländlich,Lage
Gehobenes Einfamilienhaus in exquisiter Lage,899000.0,"56218 Mülheim-Kärlich, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,207.0,472.0,4343.0,Einfamilienhaus (freistehend),83.0,nil,5.0,2.0,1.0,3.57,{'is24qa-gaeste-wc-label': ''},13.70903942580019,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
Ihr neues Zuhause in Ransbach-Baumbach,199000.0,"56235 Ransbach-Baumbach, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,120.0,290.0,1658.0,Doppelhaushälfte,50.0,nil,3.0,2.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}",12.201065128819632,Weste,Weste,36.97,Q1,ländlich,Weste
Charmantes Einfamilienhaus mit Gartenidylle,349000.0,"56237 Wittgert, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,125.0,610.0,2792.0,Einfamilienhaus (freistehend),94.0,Nach Vereinbarung,3.0,1.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.762830066509972,Weste,Weste,36.97,Q1,ländlich,Weste
Wohn- und Geschäftshaus im Ortskern von Freilingen!,149000.0,"56244 Freilingen, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",11.0,117.0,515.0,1274.0,Wohnimmobilie (sonstige),54.0,nil,4.0,1.0,1.0,3.57,{},11.91170829631447,Weste,Weste,36.97,Q1,ländlich,Weste
Wohn- und Geschäftshaus inkl. Baugrundstück im Ortskern von Freilingen!,189000.0,"56244 Freilingen, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",11.0,117.0,1224.0,1615.0,Wohnimmobilie (sonstige),54.0,nil,4.0,1.0,2.0,3.57,{},12.149507585033072,Weste,Weste,36.97,Q1,ländlich,Weste
Einfamilienhaus mit tollem Grundstück in schöner Höhenlage von Isenburg,275000.0,"56271 Isenburg, Neuwied (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,180.0,704.0,1528.0,Mehrfamilienhaus,90.0,nil,3.0,2.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",12.524530013005734,Isenburg,Isenburg,148.68,Q3,ländlich,Isenburg
Freistehendes Einfamilienhaus mit Ausbaumöglichkeit,233000.0,"56290 Macken, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,210.0,1650.0,1110.0,Einfamilienhaus (freistehend),80.0,nach Absprache,5.0,2.0,2.0,3.57,{'is24qa-keller-label': ''},12.358798024384122,Koblenz,"Koblenz, Stadt",1079.7,Q4,städtisch,Koblenz
Zeitgemäße und familienfreundliche Doppelhaushälfte,345000.0,"56294 Münstermaifeld, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,140.0,320.0,2464.0,Doppelhaushälfte,70.0,nil,3.0,3.0,1.0,3.57,{'is24qa-keller-label': ''},12.75130259456002,Münster,"Münster, Stadt",1047.59,Q4,städtisch,Münster
Zeitgemäße und familienfreundliche Doppelhaushälfte,345000.0,"56294 Münstermaifeld, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,140.0,320.0,2464.0,Doppelhaushälfte,70.0,nil,3.0,3.0,1.0,3.57,{'is24qa-keller-label': ''},12.75130259456002,Münster,Münster,67.38,Q2,ländlich,Münster
Schlüsselfertiges Zweifamilienhaus mit Einliegerwohnung aus massiver Stein-/Holzkombination in tolle,795000.0,"56294 Münstermaifeld, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8.0,242.7,436.0,3276.0,Mehrfamilienhaus,10.28,20.4.2024,3.0,3.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",13.586098651497313,Stein,Stein,200.52,Q4,städtisch,Stein
Schlüsselfertiges Zweifamilienhaus mit Einliegerwohnung aus massiver Stein-/Holzkombination in tolle,795000.0,"56294 Münstermaifeld, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8.0,242.7,436.0,3276.0,Mehrfamilienhaus,10.28,20.4.2024,3.0,3.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",13.586098651497313,Stein,"Stein, Stadt",734.44,Q4,städtisch,Stein
Attraktive Kapitalanlage - Zweifamilienhaus in ruhiger Lage,219000.0,"56317 Linkenbach, Neuwied (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8.0,150.0,324.0,1460.0,Mehrfamilienhaus,83.64,nil,5.0,2.0,1.0,2.97,{'is24qa-keller-label': ''},12.296831574998258,Lage,Lage,157.28,Q3,ländlich,Lage
Attraktive Kapitalanlage - Zweifamilienhaus in ruhiger Lage,219000.0,"56317 Linkenbach, Neuwied (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8.0,150.0,324.0,1460.0,Mehrfamilienhaus,83.64,nil,5.0,2.0,1.0,2.97,{'is24qa-keller-label': ''},12.296831574998258,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
"Zweifamilienhaus mit historischer Backstube, teure Gewerke bereits erneuert",179000.0,"56329 Sankt Goar, Rhein-Hunsrück-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,146.0,346.0,1226.0,Mehrfamilienhaus,73.0,nil,4.0,3.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.095146671399466,Sankt Goar,"Sankt Goar, Stadt",120.11,Q3,ländlich,Sankt Goar
Einfamilienhaus mit Einliegerwohnung,335000.0,"56332 Brodenbach, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,190.0,622.0,1763.0,Einfamilienhaus (freistehend),66.5,nil,4.0,2.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",12.721888795877375,Koblenz,"Koblenz, Stadt",1079.7,Q4,städtisch,Koblenz
Freistehendes Haus in Diethardt,350000.0,"56355 Diethardt, Rhein-Lahn-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,130.0,920.0,2692.0,Einfamilienhaus (freistehend),60.0,sofort,4.0,2.0,2.0,3.75,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.765691290604371,Lahn,Lahn,40.68,Q1,ländlich,Lahn
Teilsaniertes 2 FH mit ELW und großem Potenzial für individuelle Gestaltungsmöglichkeiten bis 4 FH!,375000.0,"56355 Winterwerb, Rhein-Lahn-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",11.0,243.0,1092.0,1543.0,Mehrfamilienhaus,79.13,nil,5.0,3.0,3.0,3.57,{'is24qa-keller-label': ''},12.834683971615659,Lahn,Lahn,40.68,Q1,ländlich,Lahn
°°° Katzenelnbogen: Modern ausgebaute Hofreite mit Nebengebäude für eine große Familie! °°°,275000.0,"56368 Katzenelnbogen, Rhein-Lahn-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,186.02,579.0,1478.0,Einfamilienhaus (freistehend),25.0,Nach Absprache,3.0,2.0,3.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.524530013005734,Lahn,Lahn,40.68,Q1,ländlich,Lahn
Freistehendes Einfamilienhaus in ruhiger Lage,265000.0,"56370 Wasenbach, Rhein-Lahn-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,143.0,682.0,1853.0,nil,68.0,01.08.2024,5.0,2.0,1.0,3.49,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.487488878546145,Lahn,Lahn,40.68,Q1,ländlich,Lahn
"6 Zimmer Haus, großzügig und sehr gepflegt mit Garten und Doppelgarage in zentraler Lage",569000.0,"56410 Montabaur, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,180.0,780.0,3161.0,Einfamilienhaus (freistehend),140.0,Sofort,3.0,2.0,1.0,3.57,{'is24qa-keller-label': ''},13.251637470576167,Weste,Weste,36.97,Q1,ländlich,Weste
Sanierungsbedürftiges Einfamilienhaus auf großem Grundstück in Gackenbach,79000.0,"56412 Gackenbach, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,130.0,1260.0,608.0,Einfamilienhaus (freistehend),140.0,nil,4.0,2.0,1.0,3.57,{},11.277215789596893,Weste,Weste,36.97,Q1,ländlich,Weste
Gepflegtes Einfamilienhaus in ruhiger Wohnlage,380000.0,"56412 Hübingen, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,170.0,601.0,2235.0,Einfamilienhaus (freistehend),45.0,nil,4.0,1.0,2.0,3.57,{'is24qa-gaeste-wc-label': ''},12.847929163278053,Weste,Weste,36.97,Q1,ländlich,Weste
Amerikanischer Wohntraum mit unverbaubarer Aussicht,725000.0,"56412 Niedererbach, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,195.0,531.0,3718.0,Einfamilienhaus (freistehend),35.0,nil,5.0,2.0,2.0,3.57,{'is24qa-gaeste-wc-label': ''},13.493928313146206,Weste,Weste,36.97,Q1,ländlich,Weste
Platz für die ganze Familie! Moderne Doppelhaushälfte in familienfreundlicher Lage von Meudt,379500.0,"56414 Meudt, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,211.29,308.0,1796.0,Doppelhaushälfte,25.48,nil,4.0,2.0,1.0,2.975,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.846612510860464,Weste,Weste,36.97,Q1,ländlich,Weste
Großzügige Stadtvilla mit Außenpool und großem Gartengrundstück,795000.0,"56427 Siershahn, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8.0,208.0,1457.0,3822.0,Einfamilienhaus (freistehend),114.0,nil,4.0,3.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",13.586098651497313,Weste,Weste,36.97,Q1,ländlich,Weste
Einzigartiges Honka-Einfamilienhaus in traumhafter Lage.,499000.0,"56459 Kölbingen, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,145.0,892.0,3441.0,Einfamilienhaus (freistehend),61.08,nil,3.0,1.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",13.120363378739663,Weste,Weste,36.97,Q1,ländlich,Weste
Gepflegtes Wohnhaus mit Wintergarten und Schwimmbad in ruhiger Ortsrandlage,179500.0,"56462 Höhn, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,160.0,874.0,1122.0,Einfamilienhaus (freistehend),80.0,nach Vereinbarung,3.0,1.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.097936057925594,Weste,Weste,36.97,Q1,ländlich,Weste
"Äußerst gepflegtes Einfamilienhaus in familienfreundlicher Lage! Mit Garten, großer Terrasse uvm.!",365000.0,"56470 Bad Marienberg (Westerwald), Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,210.0,733.0,1738.0,Einfamilienhaus (freistehend),73.37,n.V.,3.0,2.0,2.0,3.57,{'is24qa-keller-label': ''},12.807655372286902,Weste,Weste,36.97,Q1,ländlich,Weste
"Gepflegtes, ehemaliges Bauernhaus auf 320 m² Grundstück",202500.0,"56472 Hof, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9.0,185.0,320.0,1095.0,Bauernhaus,50.0,nach Absprache,5.0,2.0,1.0,3.57,{'is24qa-keller-label': ''},12.218500103788143,Weste,Weste,36.97,Q1,ländlich,Weste
EFH mit großem Grundstück ca. 2 min. bis Bad Marienberg.,299000.0,"56472 Lautzenbrücken, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,116.0,930.0,2578.0,Einfamilienhaus (freistehend),50.0,nil,3.0,1.0,2.0,3.57,{'is24qa-gaeste-wc-label': ''},12.608202196848836,Weste,Weste,36.97,Q1,ländlich,Weste
"Großes Wohnhaus mit 2 kpl. Wohnungen, Balkon und 2 Garagen. in ruhiger Lage",279000.0,"56477 Westernohe, Westerwaldkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,204.0,491.0,1368.0,Einfamilienhaus (freistehend),90.0,sofort,4.0,3.0,2.0,3.57,"{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.53897064502647,Weste,Weste,36.97,Q1,ländlich,Weste
Hausverkauf im Bieterverfahren- Startpreis: 137.000 €,137000.0,"56566 Neuwied, Neuwied (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,130.0,159.0,1054.0,Einfamilienhaus (freistehend),25.0,nach Absprache,2.0,2.0,1.0,2.85,{'is24qa-keller-label': ''},11.827743504053695,Neuwied,"Neuwied, Stadt",753.03,Q4,städtisch,Neuwied
"Hochwertiges, freistehendes Einfamilienhaus mit tollem Garten",315000.0,"56566 Neuwied, Neuwied (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,134.0,904.0,2351.0,Einfamilienhaus (freistehend),40.0,Nach Vereinbarung,3.0,1.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.660331092405906,Neuwied,"Neuwied, Stadt",753.03,Q4,städtisch,Neuwied
Individuell zu erweiternde Doppelhaushälfte mit Anbau und Investitionspotential in Neuwied-Engers,239000.0,"56566 Neuwied, Neuwied (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,108.0,196.0,2213.0,Doppelhaushälfte,75.0,Nach Vereinbarung möglich,3.0,1.0,1.0,3.57,"{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}",12.384223015005313,Enger,"Enger, Widukindstadt",496.68,Q4,städtisch,Enger
Große Familie gesucht,212000.0,"56567 Neuwied, Neuwied (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,191.0,442.0,1110.0,Einfamilienhaus (freistehend),50.0,nil,3.0,2.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.264346270624157,Neuwied,"Neuwied, Stadt",753.03,Q4,städtisch,Neuwied
Ihr neues Zuhause über den Dächern Feldkirchens,440000.0,"56567 Neuwied, Neuwied (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,175.0,1355.0,2514.0,Bungalow,40.0,nil,3.0,1.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.994532278619134,Neuwied,"Neuwied, Stadt",753.03,Q4,städtisch,Neuwied
Renovierungsbedürftiges Stadthaus in zentraler Lage,209000.0,"56575 Weißenthurm, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,120.0,636.0,1742.0,Einfamilienhaus (freistehend),80.0,nil,3.0,2.0,1.0,3.57,{'is24qa-keller-label': ''},12.250094315624496,Lage,Lage,157.28,Q3,ländlich,Lage
Renovierungsbedürftiges Stadthaus in zentraler Lage,209000.0,"56575 Weißenthurm, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,120.0,636.0,1742.0,Einfamilienhaus (freistehend),80.0,nil,3.0,2.0,1.0,3.57,{'is24qa-keller-label': ''},12.250094315624496,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
Schmuckstück für Naturliebhaber,479000.0,"56584 Thalhausen, Neuwied (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,200.0,1591.0,2395.0,Einfamilienhaus (freistehend),30.0,Sofort,3.0,2.0,3.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",13.079457964073546,Neuwied,"Neuwied, Stadt",753.03,Q4,städtisch,Neuwied
Ideal für den Handwerker!!! Geräumiges Haus mit Potential und großer Werkstatt,319000.0,"56593 Güllesheim, Altenkirchen (Westerwald) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,190.0,502.0,1679.0,Einfamilienhaus (freistehend),208.0,nil,3.0,3.0,2.0,3.57,{'is24qa-keller-label': ''},12.672949516558306,Weste,Weste,36.97,Q1,ländlich,Weste
Traumhaftes Familienheim in Top-Lage von Pleckhausen,698000.0,"56593 Pleckhausen, Altenkirchen (Westerwald) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,200.0,1056.0,3490.0,Einfamilienhaus (freistehend),66.0,nil,4.0,2.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",13.455975814408239,Weste,Weste,36.97,Q1,ländlich,Weste
Geräumiges Einfamilienhaus in der schönen Südstadt,299000.0,"56626 Andernach, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,160.0,371.0,1869.0,Einfamilienhaus (freistehend),70.0,nach Vereinbarung,5.0,2.0,1.0,3.57,{'is24qa-keller-label': ''},12.608202196848836,Koblenz,"Koblenz, Stadt",1079.7,Q4,städtisch,Koblenz
Zweifamilienhaus in beliebter Wohnlage von Andernach,495000.0,"56626 Andernach, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,168.0,486.0,2946.0,Mehrfamilienhaus,88.0,nach Vereinbarung,4.0,3.0,3.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",13.112315061750808,Koblenz,"Koblenz, Stadt",1079.7,Q4,städtisch,Koblenz
Schönes Zweifamilienhaus in Plaidt,369000.0,"56637 Plaidt, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,190.0,400.0,1942.0,Reihenmittelhaus,70.0,nil,4.0,2.0,1.0,3.57,"{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}",12.818554633046093,Koblenz,"Koblenz, Stadt",1079.7,Q4,städtisch,Koblenz
"EFH freistehend, 2 Stellplätze, Garten, Bauplatz",229000.0,"56642 Kruft, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3.0,80.0,559.0,2863.0,Einfamilienhaus (freistehend),50.0,01.07.2024,2.0,2.0,2.0,2.98,{'is24qa-keller-label': ''},12.34148164933907,Koblenz,"Koblenz, Stadt",1079.7,Q4,städtisch,Koblenz
Freistehendes Einfamilienhaus mit Ausbaureserve!!!,220000.0,"56642 Kruft, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,138.0,271.0,1594.0,Einfamilienhaus (freistehend),109.0,ab sofort,5.0,2.0,1.0,3.57,{},12.301387370778713,Koblenz,"Koblenz, Stadt",1079.7,Q4,städtisch,Koblenz
Tolles Einfamilienhaus in zentraler Lage,289000.0,"56642 Kruft, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,115.0,261.0,2513.0,Einfamilienhaus (freistehend),50.0,nil,3.0,2.0,2.0,3.57,{},12.574185427296195,Lage,Lage,157.28,Q3,ländlich,Lage
Tolles Einfamilienhaus in zentraler Lage,289000.0,"56642 Kruft, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,115.0,261.0,2513.0,Einfamilienhaus (freistehend),50.0,nil,3.0,2.0,2.0,3.57,{},12.574185427296195,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
Freistehendes Einfamilienhaus mit Ausbaureserve!!!,229000.0,"56642 Kruft, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,138.0,271.0,1659.0,Einfamilienhaus (freistehend),109.0,ab sofort,5.0,2.0,1.0,3.57,{},12.34148164933907,Koblenz,"Koblenz, Stadt",1079.7,Q4,städtisch,Koblenz
Modernes Familienidyll: Elegantes Einfamilienhaus mit herrlichem Ausblick,449000.0,"56727 Mayen, Mayen-Koblenz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,151.5,362.0,2964.0,Doppelhaushälfte,16.17,Nach Vereinbarung,4.0,2.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",13.014780393893403,Koblenz,"Koblenz, Stadt",1079.7,Q4,städtisch,Koblenz
