title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
"Stilvolle, gepflegte 2-Raum-Terrassenwohnung mit Balkon und Einbauküche in Breege-Juliusruh",168000.0,"Lerchenweg 3,
18556 Altenkirchen, Vorpommern-Rügen (Kreis)",2,50.0,3360.0,Terrassenwohnung,50.0,1.10.2024,2,1,1 Stellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wohnungspaket mit 4 vermieteten Eigentumswohnungen,210000.0,"Toitenwinkel, 18147 Rostock
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,164.0,1280.0,Etagenwohnung,,nil,nil,nil,4 Außenstellplätze,"zzgl. Maklerprovision: 3,5 % inkl. MwSt. vom Käufer zu zahlen","{'is24qa-personenaufzug-label': '', 'is24qa-keller-label': ''}"
Moderner Neubau: 2-Zimmer-Eigentumswohnung am Stadthafen,369000.0,"Kröpeliner-Tor-Vorstadt, 18055 Rostock
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,62.0,5952.0,Etagenwohnung,,nil,nil,nil,nil,"zzgl. Maklerprovision: 3,5 % inkl. MwSt. vom Käufer zu zahlen",{'is24qa-personenaufzug-label': ''}
"Unglaublich aber wahr - heute kaufen, sofort nutzen und in 8 Jahren bezahlen",515000.0,"Feldstadt, 19053 Schwerin
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,94.17,5469.0,Erdgeschosswohnung,,01.05.2024,nil,nil,1 Carport,15.000 €,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': ''}"
"Grundsolide, bezugsfertige Eigentumswohnung in Bergen auf der Insel Rügen",219000.0,"18528 Bergen auf Rügen, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,63.0,3476.0,Etagenwohnung,,nach Verkauf,1,nil,1 Außenstellplatz,"3,50% des Kaufpreises","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
"Ferien in der ""Villa Minna""",250000.0,"18586 Göhren, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,64.0,3906.0,Sonstige,,nach Vereinbarung,1,1,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Wassernahe 5-Raum-Wohnung im Herzen von Malchow,239000.0,"Güstrower Straße 18-20,
17213 Malchow, Mecklenburgische Seenplatte (Kreis)",5,126.59,1888.0,Etagenwohnung,,nach Vereinbarung,3,1,nil,"3,57 % vom Kaufpreis inkl. MwSt.","{'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': ''}"
2-Zimmer Erdgeschosswohnung im Seebad Hohe-Düne,270000.0,"Seebad Hohe Düne, 18119 Rostock
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,66.11,4084.0,Erdgeschosswohnung,,ab 01.07.2024,1,1,nil,"9.639,00 € inkl. 19 % Mwst. vom Käufer zu zahlen bei Kaufabschluss","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Wunderschöne 4- Zimmerwohnung nah am Meer,290000.0,"18209 Bad Doberan, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,77.0,3766.0,nil,10.0,nach Vereinbarung,3,1,1 Außenstellplatz,"2,38 %","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Neubau! Erstbezug in eine 2-Zimmer-Obergeschosswohnung/großer Balkon/Energieeffizienzhaus 40,254000.0,"31582 Nienburg (Weser), Nienburg (Weser) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,61.15,4154.0,Dachgeschoss,,nach Vereinbarung,1,1,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
