title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
"Geräumige, helle Loft-Wohnung im Herzen von Hamburg! - mit Tiefgaragenstellplatz",372000.0,"Langenhorn, 22419 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,90.0,4133.0,Etagenwohnung,,nil,1,1,1 Tiefgaragen-Stellplatz,"3,57 % Käufer-Provision inklusive MW-Steuer",{'is24qa-personenaufzug-label': ''}
Wohnen zwischen Süllberg und Blankenese,1650000.0,"Blankenese, 22587 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,218.0,7569.0,Etagenwohnung,,nach Vereinbarung,3,2,2 Tiefgaragen-Stellplätze,"3,57 % inkl. MwSt.",{}
vermietete Zweizimmerwohnung mit Süd-Balkon und TG-Stellplatz,240000.0,"Hummelsbüttel, 22339 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,59.0,4068.0,Etagenwohnung,,nil,1,1,1 Tiefgaragen-Stellplatz,"3,57% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Charmante Jugendstilwohnung in Ottensen,699000.0,"Ottensen, 22763 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,73.0,9575.0,Etagenwohnung,,sofort,2,1,nil,"3,57 % Käuferprovision inkl. 19 % MwSt.",{'is24qa-balkon-terrasse-label': ''}
Charmantes Dachgeschoss in zentralem Eimsbüttel,420000.0,"Eimsbüttel (Ortsteil), 20259 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,58.0,7241.0,Dachgeschoss,,ab sofort,1,1,1 Stellplatz,3% zzgl. MwSt.,"{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Attraktive 2-Zimmer Wohnung in Toplage nahe Jungfernstieg - Hamburgs Herz hautnah erleben!,289000.0,"Neustadt, 20355 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,44.0,6568.0,Etagenwohnung,,nil,1,1,nil,"3,57 % inkl. 19 % Mwst.","{'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
*Erstbezug/Neubau* 3-Zimmer-Obergeschosswohnung in 22115 Hamburg/ Kirchsteinbek! -Direkt vom Bauträg,398000.0,"Billstedt, 22115 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,87.59,4544.0,Etagenwohnung,,sofort,2,nil,1 Außenstellplatz,Provisionsfrei!,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
Top angebunden und ganz weit oben! 2-Zimmer-Wohnung im 6.OG,398000.0,"Stellingen, 22525 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,57.74,6893.0,nil,,nil,nil,1,32 Tiefgaragen-Stellplätze,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Wunderschöne Kapitalanlage - energetisch saniert, Balkon und Parkplatz",359000.0,"Eidelstedt, 22523 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,64.0,5609.0,Etagenwohnung,7.0,nach Absprache,1,1,1 Außenstellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
3-Zimmer Wohnung im Zentrum von Harburg,249000.0,"Harburg (Ortsteil), 21073 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,60.48,4117.0,Erdgeschosswohnung,,nach Absprache,nil,nil,nil,Nein,"{'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
PROVISIONSFREI FÜR KÄUFER - 2-Zimmer-Wohnung mit TG-Stellplatz in HH-Lokstedt,399000.0,"Lokstedt, 22529 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,66.02,6044.0,Terrassenwohnung,1.34,nil,1,nil,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wohnen wie in einer Villa,2850000.0,"Blankenese, 22587 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,384.0,7422.0,Maisonette,,nil,4,3,2 Tiefgaragen-Stellplätze,3% inkl. MwSt.,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
3-Zimmer-Wohnung mit TG nahe Hagenbecks Tierpark !,330000.0,"Pelikanstieg 11,
Stellingen, 22527 Hamburg",3,73.15,4511.0,Erdgeschosswohnung,,nil,nil,nil,1 Tiefgaragen-Stellplatz,3 % inkl. MwSt. Käufercourtage,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Endetage über den Dächern von Eppendorf,850000.0,"Hoheluft-Ost, 20251 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,90.0,9444.0,nil,,Sofort,nil,1,nil,"3,25 % inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': ''}"
1 Zimmer Terrassenwohnung mit Stellplatz,239000.0,"Alsterdorf, 22297 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,34.19,6990.0,Terrassenwohnung,10.0,kurzfristig möglich,nil,nil,1 Außenstellplatz,"3,40 % v. netto-VK-Preis (incl. MwSt.)",{'is24qa-balkon-terrasse-label': ''}
Helle 2 Zi.-Wohung mit Südbalkon und TG-Platz im Dorfkern von Volksdorf,339000.0,"Volksdorf, 22359 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,68.49,4950.0,Etagenwohnung,,nil,nil,nil,1 Tiefgaragen-Stellplatz,"2,5% inkl. MwSt.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Charmante 2-Zimmer-Wohnung zwischen dem Siemersplatz und Hagenbecks Tierpark in HH-Lokstedt,295000.0,"Lokstedt, 22529 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,49.25,5990.0,Etagenwohnung,6.0,ab sofort,nil,1,1 Stellplatz,"3,57 %","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': ''}"
