title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Kleiner neuwertiger Bungalow auf einem großen Teichgrundstück zu verkaufen,66666.0,"08606 Triebel/Vogtland, Vogtlandkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,20.0,3620.0,3333.0,Einfamilienhaus (freistehend),30.0,Sofort,nil,1,2 Außenstellplätze,"3,57%",{}
Vielseitiges Zweifamilienhaus mit Ausbaupotenzial: Wohnkomfort in Schönheide,189000.0,"08304 Schönheide, Erzgebirgskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,185.0,560.0,1022.0,Mehrfamilienhaus,,sofort,4,2,1 Garage,"3,57 % vom Kaufpreis inkl. der gesetzl. MwSt.",{'is24qa-vermietet-label': ''}
RESERVIERT! Wohn-Geschäftshaus in beste Lage von Görlitz zu verkaufen,590000.0,"Brüderstr. 15,
Historische Altstadt, 02826 Görlitz",15,480.0,230.0,1229.0,Reihenmittelhaus,480.0,nil,9,9,nil,"Käuferprovision 7,14 % inkl. 19 % MwSt. des Kaufpreises inkl. MwSt.","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Doppelhaushälfte in beliebter Wohnlage - schnell sein!,149000.0,"02625 Bautzen, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,88.0,789.0,1693.0,Doppelhaushälfte,45.0,nil,2,1,nil,"3,57 % inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"Mod., voll vermietetes 3-Familienhaus mit Balkon - Veranda - separate Ferienwohnung in Bautzen",315000.0,"02625 Bautzen, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,252.0,630.0,1250.0,Mehrfamilienhaus,,nil,5,3,nil,"7,86 % (inkl. 19 % Mwst.)",{'is24qa-keller-label': ''}
Voll saniertes Bauernhaus mit vielen Möglichkeiten,199000.0,"Niederschlag 16,
09471 Bärenstein, Erzgebirgskreis",7,250.0,1858.0,796.0,Bauernhaus,250.0,nil,7,7,2 Stellplätze,"5,95","{'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Familienfreundliches Domizil im Grünen,339000.0,"04683 Belgershain, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,120.0,481.0,2825.0,Doppelhaushälfte,52.0,nach Vereinbarung,3,2,2 Stellplätze,"3,57 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
Gepflegtes Stadthaus in Reichenbach nähe Marktplatz !,135000.0,"08468 Reichenbach im Vogtland, Vogtlandkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",12,302.0,274.0,447.0,Reihenmittelhaus,,nach Absprache,6,4,nil,"4,76 % inkl. ges. MwSt.","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Interessantes Objekt in ländlicher Lage!,109000.0,"09526 Olbernhau, Erzgebirgskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,103.0,1730.0,1058.0,Villa,,nil,2,2,1 Garage,"3,57 % vom KP inkl. MwSt inkl. MwSt.",{'is24qa-keller-label': ''}
Schmuckstück zum Ausbauen! Sanierungsobjekt!,39000.0,"08309 Eibenstock, Erzgebirgskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",18,380.0,290.0,103.0,Mehrfamilienhaus,,nil,12,0,nil,3570 € inkl. MwSt. inkl. MwSt. inkl. MwSt. inkl. MwSt.,{'is24qa-keller-label': ''}
Hier ist genügend Platz für eine große Familie und all Ihre Träume!,150000.0,"09661 Rossau, Mittelsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,250.0,621.0,600.0,Einfamilienhaus (freistehend),,nach Absprache,6,2,1 Außenstellplatz,"3,57 % inkl. ges. MwSt. (fällig und verdient mit Abschluss des notariellen Kaufvertrages)","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
3 auf einen Streich! Mehrfamilienhäuser-Paket in Zwickau!,940000.0,"Nordvorstadt, 08056 Zwickau
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",46,1255.0,980.0,749.0,Mehrfamilienhaus,,nil,nil,23,nil,"5,95 % inkl. MwSt. inkl. MwSt.",{'is24qa-keller-label': ''}
Einfamilienhaus/ Büro oder Praxis! Alles ist möglich!,265000.0,"01877 Demitz-Thumitz, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,130.0,931.0,2038.0,Einfamilienhaus (freistehend),,nil,nil,1,Garage,"3,57 % des Kaufpreises inklusive gesetzlich gültiger MwSt.",{'is24qa-gaeste-wc-label': ''}
Modernes Einfamilienhaus mit Nebengelass,365000.0,"09573 Augustusburg, Mittelsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,150.0,1493.0,2433.0,nil,170.0,05/2024,2,1,2 Stellplätze,"3,57 % incl. MwSt.",{'is24qa-gaeste-wc-label': ''}
Behaglich Wohnen im Landkreis Leipzig,189000.0,"04668 Thümmlitzwalde, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,132.0,834.0,1432.0,Einfamilienhaus (freistehend),47.0,nach Vereinbarung,1,1,1 Außenstellplatz,"5,95 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
