title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Wie aus dem BILDERBUCH - hier lesen Sie sich ins Happy End! PAKETE möglich - mit MFH!,349000.0,"Dudweiler (Ortsteil), 66125 Saarbrücken
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,215.0,400.0,1623.0,Einfamilienhaus (freistehend),,sofort,4,3,2 Außenstellplätze,"3,57% des Kaufpreises inkl. 19% MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Ideal für Investoren: Zentrales Wohn-/Geschäftshaus in Dillingen,375000.0,"66763 Dillingen/Saar, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,144.0,263.0,2604.0,nil,328.0,nil,nil,nil,nil,"3,57%","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-vermietet-label': ''}"
Solides Mehrfamilienhaus in guter Lage nähe Stadtzentrum,249000.0,"66538 Neunkirchen, Neunkirchen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,261.0,219.0,954.0,Mehrfamilienhaus,,nil,nil,nil,nil,"3,57 % inkl. ges. MwSt.",{'is24qa-vermietet-label': ''}
Flexibel nutzbare Gewerbeimmobilien mit Wohnraumausbau in Lebach,329000.0,"66822 Lebach, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,249.0,1121.0,1321.0,Reihenmittelhaus,1065.0,nil,nil,nil,4 Außenstellplätze,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises",{'is24qa-keller-label': ''}
Zentral gelegenes Ein- bis Zweifamilienhaus in Saarlouis,279000.0,"66740 Saarlouis, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,170.0,171.0,1641.0,Mehrfamilienhaus,,nil,3,2,1 Garage,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises",{}
Ideale Kombination: Arbeiten und Wohnen in Ensdorf,245000.0,"66806 Ensdorf, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,137.0,159.0,1788.0,nil,119.0,nil,2,2,nil,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises",{'is24qa-keller-label': ''}
Bauen in STREIF Qualität - Inkl. Bauplatz !,481000.0,"66649 Oberthal, Sankt Wendel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,120.0,580.0,4008.0,Einfamilienhaus (freistehend),120.0,nil,3,2,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Harmonisches Zuhause in Ensdorf: Wohnen und Arbeiten vereint,349000.0,"66806 Ensdorf, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,177.0,285.0,1972.0,nil,210.0,nil,3,2,2 Außenstellplätze,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Acht-Parteien-Investment: Energieeffizienter Wohnkomplex,1659000.0,"66740 Saarlouis, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",24,837.0,1602.0,1982.0,Mehrfamilienhaus,,nil,14,9,14 Außenstellplätze,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Elegantes Wohnen: Split-Level-Architektur in Top-Lage von Saarlouis,529000.0,"66740 Saarlouis, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,155.0,450.0,3413.0,Einfamilienhaus (freistehend),,nil,3,2,1 Garage,"Käuferprovision beträgt 3,57 % (inkl. MwSt.) des beurkundeten Kaufpreises","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Wohn- und Geschäftshaus in Innenstadtlage in Neunkirchen,299000.0,"66538 Neunkirchen, Neunkirchen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",14,410.0,323.0,729.0,Mehrfamilienhaus,100.0,nil,nil,nil,nil,"3,57 % inkl. MwSt.",{}
Charmante Doppelhaushälfte in ruhiger Lage mit Potenzial zur individuellen Gestaltung,145000.0,"66606 Sankt Wendel, Sankt Wendel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,135.0,910.0,1074.0,Doppelhaushälfte,0.0,nil,3,2,1 Außenstellplatz,"3,57% vom Kaufpreis inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Ruhige Wohnlage - Niederkirchen,129000.0,"66606 Sankt Wendel, Sankt Wendel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,95.0,551.0,1358.0,Einfamilienhaus (freistehend),,sofort,nil,2,2 Stellplätze,"3,57 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
Gemütliches Wohnhaus für die Familie - Primstal,145000.0,"66620 Nonnweiler, Sankt Wendel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,125.0,736.0,1160.0,Einfamilienhaus (freistehend),,nach Vereinbarung,nil,nil,2 Außenstellplätze,"3,57 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
Gepflegtes EFH - Tholey,98000.0,"66636 Tholey, Sankt Wendel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,140.0,621.0,700.0,Einfamilienhaus (freistehend),,sofort,4,2,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Ruhige Lage- Nonnweiler-Primstal,115000.0,"66620 Nonnweiler, Sankt Wendel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,130.0,520.0,885.0,Einfamilienhaus (freistehend),,sofort,4,2,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
Schönes Einfamilienhaus in ruhiger Lage in Dillingen,365000.0,"66763 Dillingen/Saar, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,180.0,646.0,2028.0,Einfamilienhaus (freistehend),,frei nach Vereinbarung,nil,1,1 Stellplatz,"3,57 %","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
HISTORISCHES MEHRFAMILIENHAUS MIT HERRLICHER DACHTERRASSE IN DER HOMBURGER ALTSTADT,1239000.0,"66424 Homburg, Saarpfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",12,350.0,490.0,3540.0,Mehrfamilienhaus,150.0,nach Vereinbarung,8,2,nil,"3,57 % (vom Kaufpreis incl. MwSt.)",{}
HOMBURG-UNINÄHE; TOP GEPFLEGTES MEHRFAMILIENHAUS MIT 17 WOHNUNGEN IN BEVORZUGTER WOHNLAGE,1299000.0,"66424 Homburg, Saarpfalz-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",18,440.0,534.0,2952.0,Mehrfamilienhaus,50.0,sofort,17,17,17 Außenstellplätze,"3,57 % (vom Kaufpreis incl. MwSt.)",{'is24qa-vermietet-label': ''}
Mehrfamilienhaus in zentraler Lage,325000.0,"66589 Merchweiler, Neunkirchen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",16,389.0,492.0,835.0,Mehrfamilienhaus,,sofort,6,6,3 Garagen,"3,57 % inkl. ges. MwSt.",{}
Gepflegtes Zweifamilienhaus mit Werkstatt!!!,192000.0,"66636 Tholey, Sankt Wendel (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,220.0,556.0,873.0,Mehrfamilienhaus,,nil,5,2,2 Garagen,"Die Courtage beträgt 3,57 % inkl. MwSt","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
*** Mehrfamilienhaus mit kl. Gewerbe in zentraler Lage***,780000.0,"66763 Dillingen/Saar, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",19,655.0,347.0,1191.0,Mehrfamilienhaus,60.0,Komplett vermietet,12,7,nil,"3,57 % incl. der gesetzl. MwSt. (Käufercourtage)","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"Attraktives Renditeobjekt ""im Herzen"" von Saarlouis",839000.0,"66740 Saarlouis, Saarlouis (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,269.0,119.0,3119.0,Mehrfamilienhaus,,nil,3,3,nil,"5,95% vom Kaufpreis (inkl. MwSt.) inkl. MwSt.",{'is24qa-keller-label': ''}
