title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Schönes Ein-Zweifamilienhaus in Breitenworbis Top Zustand,215000.0,"Hinterstraße 8,
37339 Breitenworbis, Eichsfeld (Kreis)",6,150.0,520.0,1433.0,nil,,nil,nil,2,2 Stellplätze,Nein,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Kleiner Bungalow, mit Ausbaureserve am Stadtwald in Mühlhausen, zu verkaufen :)",120000.0,"Am Stadtwald 24,
99974 Mühlhausen/Thüringen, Unstrut-Hainich-Kreis",2,80.0,713.0,1500.0,Bungalow,40.0,nil,nil,nil,2 Stellplätze,"3,57 % inkl. MwSt",{}
"Gepflegte Wohnanlage mit guter, konstanter Mieterstruktur",650000.0,"99834 Marksuhl, Wartburgkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",20,734.0,3600.0,886.0,Mehrfamilienhaus,,nil,nil,10,Außenstellplatz,Nein,"{'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Provisionsfrei! Denkmalgeschütztes Gehöft mit fünf Zimmern in Nordhausen, Nordhausen",84000.0,"Günzeröder Straße 15,
99734 Nordhausen, Nordhausen (Kreis)","5,5",160.0,1500.0,525.0,Besondere Immobilie,,1.4.2024,2,1,nil,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Effizienzhaus der Extraklasse - Ihr Traumhaus!!!!,540000.0,"36433 Bad Salzungen, Wartburgkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,214.0,804.0,2523.0,Einfamilienhaus (freistehend),,nil,2,2,5 Stellplätze,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-einliegerwohnung-label': ''}"
Solide Doppelhaushälfte mit Potenzial in Erfurt-Hochheim,495000.0,"Hochheim, 99094 Erfurt
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,120.0,395.0,4125.0,Doppelhaushälfte,,nil,nil,2,Garage,"3,57 %","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Junge Familien aufgepasst! DHH im Speckgürtel von Erfurt,289000.0,"Azmannsdorf, 99098 Erfurt
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,122.0,520.0,2369.0,Doppelhaushälfte,50.0,01.06.2024,nil,nil,2 Stellplätze,"3,57 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
antaris Immobilien GmbH ** Einfamilienhaus mit großem Grundstück und Nebengelass **,125000.0,"99718 Oberbösa, Kyffhäuserkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,150.0,1353.0,833.0,Einfamilienhaus (freistehend),,,nil,nil,5 Stellplätze,"3,57 % der Kaufpreissumme inkl. MwSt. vom Käufer",{'is24qa-keller-label': ''}
Tradition trifft Innovation: historischer Dreiseitenhof im Weimarer Land,625000.0,"99439 Buttelstedt, Weimarer Land (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,239.0,5705.0,2615.0,Einfamilienhaus (freistehend),,sofort,4,2,5 Garagen,"3,87","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Traumhaftes Einfamilienhaus mit 150 qm Wohnfläche - KfW 55 Neubau,345000.0,"99192 Apfelstädt, Gotha (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,148.0,400.0,2331.0,Einfamilienhaus (freistehend),,nil,nil,nil,nil,"7,14 % inkl. gesetzl. MwSt. (abweichende Provisionsregelungen n. §§ 656 a-d siehe ""Sonstiges"")",{}
Zweifamilienhaus in Neunheiligen zu verkaufen :),200000.0,"Hauptstraße 11,
99994 Neunheilingen, Unstrut-Hainich-Kreis",6,250.0,1529.0,800.0,Bauernhaus,300.0,nil,nil,nil,2 Stellplätze,"5,95% inkl. MwSt","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
**Großzügiges 1 bis 2-Familienhaus zum Verkauf**,395000.0,"Bieblach/Tinz, 07546 Gera
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,240.0,785.0,1646.0,Einfamilienhaus (freistehend),70.0,nil,nil,2,2 Außenstellplätze,nil,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Modernes Zweifamilienhaus in zentraler Lage,645000.0,"Kernberge, 07749 Jena
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,152.0,414.0,4243.0,Mehrfamilienhaus,,nil,nil,nil,2 Stellplätze,"3,57",{}
Junges Schmuckstück mit autarkem Strom+ Wallbox und Biokläranlage,369000.0,"98593 Floh-Seligenthal, Schmalkalden-Meiningen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,110.0,1016.0,3355.0,Einfamilienhaus (freistehend),,sofort,3,1,4 Stellplätze,"3,57% incl. Mwst.",{}
Bezahlbares Wohneigentum!,150000.0,"99820 Hörselberg-Hainich, Wartburgkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,185.0,535.0,811.0,Einfamilienhaus (freistehend),,nil,nil,nil,2 Stellplätze,"3,57 % inkl. ges. MwSt.",{}
Fabrikgebäude wartet auf Sanierung - ideal als Bürogebäude / Pflegeheim / WGH - in Berga/Elster,150000.0,"07980 Berga/Elster, Greiz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",30,1290.0,450.0,116.0,Mehrfamilienhaus,1290.0,nil,nil,nil,nil,"4,76 % incl. 19 % MwSt.",{}
Achtung Kapitalanleger - Mehrfamilienhaus mit 3 WE in Pößneck,250000.0,"07381 Pößneck, Saale-Orla-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,165.0,317.0,1515.0,Mehrfamilienhaus,,sofort,3,3,6 Stellplätze,"3,57 % inkl. ges. MwSt.",{'is24qa-vermietet-label': ''}
Wohn- und Geschäftshaus mit Ladeneinrichtung in Citylage von Sömmerda,348000.0,"Brauhausstraße 12,
99610 Sömmerda, Sömmerda (Kreis)",3,225.0,441.0,1547.0,Reihenmittelhaus,120.0,nil,nil,nil,nil,"5,95 % inkl. Mwst.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-keller-label': ''}"
gemütliches Wohnhaus mit Garage und Nebengelass in Gorsleben,93000.0,"Dorfstraße 28,
06577 Gorsleben, Kyffhäuserkreis",6,104.0,211.0,894.0,nil,,nil,nil,nil,nil,"2,98 % inkl. Mwst.","{'is24qa-listonlyonis24-label': 'Nur hier gefunden', 'is24qa-keller-label': ''}"
Genügend Platz für eine große Familie!,75000.0,"04600 Altenburg, Altenburger Land (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,139.7,342.0,537.0,Einfamilienhaus (freistehend),,nil,nil,nil,1 Garage,3 % zzgl. ges. MwSt.,{}
