title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Sparen sie mit massa Haus Energiekosten. Machen sie sich autark und nehmen Sie die Förderung mit!!!,299699.0,"39365 Eilsleben, Börde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,146.0,600.0,2053.0,Einfamilienhaus (freistehend),,Nach Absprache,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Traumhaus von massa mit 15 Monate Festpreisgarantie ! Jetzt aber los, gleich anrufen.",294979.0,"39365 Eilsleben, Börde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,103.0,600.0,2864.0,Bungalow,,Nach Absprache,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Alle reden vom sparen, wir machen es! massa Haus mit grandioser Aktion, starten Sie ""Jetzt""",297547.0,"39343 Alleringersleben, Börde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,134.0,800.0,2221.0,Einfamilienhaus (freistehend),,Nach Absprache,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"massa Traumhaus , cool, clever, nachhaltig und sexy. 15 Monate Festpreisgarantie",273480.0,"39343 Ackendorf, Börde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,145.0,650.0,1886.0,Einfamilienhaus (freistehend),,Nach Absprache,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Wohn(t)raum für zwei Generationen. Die Zinsen sinken, jetzt aber los",383690.0,"39343 Nordgermersleben, Börde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,232.0,1500.0,1654.0,Einfamilienhaus (freistehend),,Nach Absprache,4,2,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Ausbauhaus vom Marktführer!! Packen sie mit an und sparen dabei bares Geld,291780.0,"39443 Förderstedt, Salzlandkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,162.0,900.0,1801.0,Einfamilienhaus (freistehend),,Nach Absprache,3,2,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Mit unserer Aktion ins Eigenheim? Ich zeige Ihnen wie das geht! Jetzt anrufen.,441690.0,"Ottersleben, 39116 Magdeburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,185.0,600.0,2388.0,Einfamilienhaus (freistehend),,Nach Absprache,5,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Jetzt lassen wir es krachen!!! Sinkende Zinsen, klasse Förderung und tolle massa Haus Aktion",292389.0,"39365 Eilsleben, Börde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,145.0,545.0,2016.0,Einfamilienhaus (freistehend),,Nach Absprache,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Die Zinsen sinken, jetzt aber los und die tolle Aktion von massa mitnehmen.",367539.0,"39646 Oebisfelde, Börde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,162.0,520.0,2269.0,Einfamilienhaus (freistehend),,Nach Absprache,3,2,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Klein, fein und sexy. So baut man nachhaltig und effizient",348430.0,"39646 Oebisfelde, Börde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,145.0,520.0,2403.0,Einfamilienhaus (freistehend),,Nach Absprache,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
