title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Eleganz und Effizienz kombiniert,459.146 €,"37318 Uder, Eichsfeld (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,172 m²,984 m²,2.669 €/m²,Einfamilienhaus (freistehend),172 m²,nil,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Trau dich!,331.372 €,"37339 Leinefelde-Worbis, Eichsfeld (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,122 m²,787 m²,2.716 €/m²,Einfamilienhaus (freistehend),122 m²,nil,2,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Geh den Schritt in Richtung Traumhaus,423.050 €,"37339 Leinefelde-Worbis, Eichsfeld (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,157 m²,787 m²,2.695 €/m²,Einfamilienhaus (freistehend),157 m²,nil,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Weil wir Zuhause verstanden haben!,493.575 €,"99947 Bad Langensalza, Unstrut-Hainich-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,157 m²,978 m²,3.144 €/m²,Einfamilienhaus (freistehend),157 m²,nil,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Familie und Freunde unter einem Dach,642.916 €,"99947 Bad Langensalza, Unstrut-Hainich-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,231 m²,978 m²,2.783 €/m²,Mehrfamilienhaus,231 m²,nil,4,2,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wohnen am Sonnenplatz,494.041 €,"07629 Hermsdorf, Saale-Holzland-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,136 m²,628 m²,3.633 €/m²,Einfamilienhaus (freistehend),136 m²,nil,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wohnen am Sonnenplatz,546.519 €,"07629 Hermsdorf, Saale-Holzland-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,161 m²,653 m²,3.395 €/m²,Einfamilienhaus (freistehend),161 m²,nil,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wohnen am Sonnenplatz,579.835 €,"07629 Hermsdorf, Saale-Holzland-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,141 m²,0 m²,4.112 €/m²,Villa,141 m²,nil,3,2,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
Wohnen am Sonnenplatz,566.202 €,"07629 Hermsdorf, Saale-Holzland-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,130 m²,684 m²,4.355 €/m²,Bungalow,130 m²,nil,3,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wohnen am Sonnenplatz,601.946 €,"07629 Hermsdorf, Saale-Holzland-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,169 m²,742 m²,3.562 €/m²,Einfamilienhaus (freistehend),169 m²,nil,3,2,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wohnen am Sonnenplatz,630.516 €,"07629 Hermsdorf, Saale-Holzland-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,167 m²,806 m²,3.776 €/m²,Einfamilienhaus (freistehend),167 m²,nil,3,2,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Ehemalige Bäckerei, 1998 Kernsaniert , als Einfamilienhaus zu verkaufen :)",69.999 €,"Spatzenberg 9,
99974 Unstruttal, Unstrut-Hainich-Kreis",5,110 m²,197 m²,636 €/m²,Einfamilienhaus (freistehend),30 m²,nil,nil,2,1 Stellplatz,"3,57 % inkl. MwSt","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"Landhaus mit Scheune, Garagen und Garten",35.000 €,"99755 Hohenstein, Nordhausen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,"149,2 m²",530 m²,235 €/m²,Einfamilienhaus (freistehend),212 m²,nil,nil,1,3 Garagen,"3,57 % inkl. ges. MwSt.",{}
Preisreduzierung !!! Interessantes Anwesen in Gräfenroda !,185.000 €,"99330 Gräfenroda, Ilm-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,166 m²,930 m²,1.114 €/m²,Mehrfamilienhaus,42 m²,01.12.2022,nil,2,3 Stellplätze,"3,57 % inkl. ges. MwSt.",{}
Großes Ein/ Zweifamilienhaus in ruhiger Lage :) 7 Minuten bis Mühlhausen :),169.000 €,"Anger 10,
99976 Rodeberg, Unstrut-Hainich-Kreis",8,290 m²,750 m²,583 €/m²,Einfamilienhaus (freistehend),200 m²,nil,nil,3,1 Stellplatz,"5,95% inkl. MwSt","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Zweifamilienhaus in Ilmenau,145.000 €,"98693 Ilmenau, Ilm-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,150 m²,350 m²,967 €/m²,Wohnimmobilie (sonstige),50 m²,sofort,2,2,nil,"5,95% des Kaufpreises","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
