title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
3 Zimmer Maisonettewohnung im Dachgeschoss In Großzschocher,128.000 €,"Großzschocher, 04249 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,"66,18 m²",1.934 €/m²,Dachgeschoss,nil,nil,nil,nil,nil,"4.462,00€",{'is24qa-vermietet-label': ''}
charmante 3-Raumwohnung mit zwei Bädern und Balkon in Stötteritz,269.000 €,"Arnoldstraße 32,
Stötteritz, 04299 Leipzig",3,"81,73 m²",3.291 €/m²,Etagenwohnung,nil,nil,2,2,nil,"3,57% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Kapitalanleger aufgepasst! Vermietete 2-Raum-ETW mit Balkon in der beliebten Südvorstadt,223.300 €,"Südvorstadt, 04275 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,"60,75 m²",3.676 €/m²,Etagenwohnung,nil,nil,nil,nil,Tiefgaragen-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
***Diese großzügige Maisonette-Wohnung möchte Sie als Eigennutzer überzeugen***,200.000 €,"01587 Riesa, Meißen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,130 m²,1.538 €/m²,Maisonette,nil,01.04.2024,3,2,1 Stellplatz,"3,57% inkl. 19% MwSt. vom notariellen Kaufpreis","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Moderne Loftwohnung Denkmal im Süden - AfA!,503.800 €,"Meusdorf, 04289 Leipzig
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,83 m²,6.070 €/m²,Erdgeschosswohnung,nil,nil,2,2,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Vermietete 3-Raum-Wohnung! Bahnhofstr. 8c, Pirna",110.000 €,"Bahnhofstraße 8c,
01796 Pirna, Sächsische Schweiz-Osterzgebirge (Kreis)",3,"57,75 m²",1.905 €/m²,Dachgeschoss,nil,nil,nil,nil,1 Tiefgaragen-Stellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Aufgepasst! Moderne Traumwohnung in neuem Baukomplex von Pirna | Balkon | Aufzug | Barrierefrei,278.400 €,"01796 Pirna, Sächsische Schweiz-Osterzgebirge (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","2,5","70,48 m²",3.950 €/m²,Etagenwohnung,nil,sofort,1,1,1 Außenstellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Vierraumwohnung in Chemnitz,171.000 €,"Zentrum, 09111 Chemnitz
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,"101,5 m²",1.685 €/m²,Etagenwohnung,nil,nil,3,1,1 Stellplatz,"3,57% des Kaufpreises inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"Vermietete 2-Raum-Wohnung! Bahnhofstr. 8c, Pirna",110.000 €,"Bahnhofstraße 8c,
01796 Pirna, Sächsische Schweiz-Osterzgebirge (Kreis)",2,"57,75 m²",1.905 €/m²,Erdgeschosswohnung,nil,nil,nil,nil,1 Tiefgaragen-Stellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Vermietete 2-Raum-Wohnung! Bahnhofstr. 1,65.000 €,"Bahnhofstraße 1,
01824 Königstein/Sächsische Schweiz, Sächsische Schweiz-Osterzgebirge (Kreis)",2,"58,04 m²",1.120 €/m²,Etagenwohnung,nil,nil,nil,nil,nil,"3,57 % inkl. ges. MwSt.","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
